Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
1,2,2,6,0,0,0,0,0,0,0,0,0,0,1438766,11,0,1,729,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,197751,279,0,0,1229,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,108175,209,0,2,978,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,49241,44,0,0,454,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,2,6,0,0,0,0,0,0,0,0,0,5,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,5,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,5,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,7,6672,3,0,0,23,1
1,2,3,6,1,1,1,1,1,1,1,1,1,14,145267,2,0,0,58,1
1,2,3,6,1,1,1,1,1,1,1,1,1,9,146423,2,0,0,56,1
1,2,3,6,1,1,1,1,1,1,1,1,1,13,23991,2,0,0,58,1
1,2,3,6,1,1,1,1,1,1,1,1,1,9,145411,2,0,0,61,1
1,2,2,6,0,0,0,0,0,0,0,0,0,6,6672,3,0,0,23,1
1,2,3,6,1,1,1,1,1,1,1,1,1,4,145602,2,0,1,61,1
1,2,3,6,1,1,1,1,1,1,1,1,1,8,145628,2,0,1,61,1
1,2,2,6,0,0,0,0,0,0,0,0,0,6,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,12,6672,3,0,0,23,1
1,2,3,6,1,1,1,1,1,1,1,1,1,7,145267,2,0,0,58,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,6587,19,0,2,76,0
1,2,2,6,0,0,0,0,0,0,0,0,0,12,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,9,6672,3,0,0,23,1
1,2,3,6,1,1,1,1,1,1,1,1,1,7,145411,2,0,0,61,1
1,2,3,6,1,1,1,1,1,1,1,1,1,5,23991,2,0,0,58,1
1,2,2,6,0,0,0,0,0,0,0,0,0,9,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,8,6672,3,0,0,23,1
1,2,3,6,1,1,1,1,1,1,1,1,1,9,145090,2,0,0,58,1
1,2,2,6,0,0,0,0,0,0,0,0,0,8,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,5,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,7,6672,3,0,0,23,1
1,2,2,6,0,0,0,0,0,0,0,0,0,8,6672,3,0,0,23,1
1,2,3,6,1,1,1,1,1,1,1,1,1,2,146423,2,0,0,56,1
1,2,2,6,0,0,0,0,0,0,0,0,0,0,61030,116,0,1,1230,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,107885,67,0,2,562,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,25281,49,0,0,306,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,75254,71,0,0,591,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,108505,62,0,0,720,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,59159,50,0,1,472,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,89675,186,0,1,762,0
1,2,2,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,79280,34,0,0,446,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,76594,147,0,1,848,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,42316,90,0,0,433,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,9887,112,0,0,265,0
1,2,2,6,0,0,0,0,0,0,0,0,0,8,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,2,33240,43,0,1,428,0
1,2,3,6,0,0,0,0,0,0,0,0,0,1,264222,31,0,0,248,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,106886,49,0,4,551,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,176747,144,0,7,1122,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,76917,123,0,0,861,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,55709,64,0,0,380,0
1,2,3,6,1,1,1,1,1,1,1,1,1,0,92490,67,0,1,567,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,286558,292,0,0,2158,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,92029,264,0,1,898,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,2433587,230,0,0,2725,0
1,2,2,6,1,1,1,1,1,1,1,1,1,0,71411,3,0,0,42,0
1,2,3,6,1,1,1,1,1,1,1,1,1,5,93843,8,0,0,63,1
1,2,2,6,0,0,0,0,0,0,0,0,0,9,6672,3,0,0,23,1
1,2,2,6,1,1,1,1,1,1,1,1,1,5,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,4522,1,0,0,45,0
1,2,3,6,1,1,1,1,1,1,1,1,1,9,143,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,11067,16,0,0,145,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,415918,27,0,0,627,0
1,2,3,6,1,1,1,1,1,1,1,1,1,0,327447,53,0,0,343,0
1,2,2,6,0,0,0,0,0,0,0,0,0,5,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,401566,114,0,1,1266,0
1,2,3,6,0,0,0,0,0,0,0,0,0,1,86312,159,0,0,1055,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,7189,20,0,1,92,0
1,2,3,6,1,1,1,1,1,1,1,1,1,8,93825,8,0,0,63,1
1,2,2,6,0,0,0,0,0,0,0,0,0,0,28175,44,0,1,298,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,10700,38,0,0,145,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,6,1,1,1,1,1,1,1,1,1,5,6672,3,0,0,23,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,44437,33,0,0,344,0
1,2,3,6,1,1,1,1,1,1,1,1,1,0,923235,55,0,0,394,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,1177,2,0,0,22,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,220737,279,0,0,1647,0
