,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
909,zara.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,261,0,0,0,6
910,googleblog.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,3612,12,0,0,59
911,giphy.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,15002,0,0,0,72
912,vectorstock.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,85279,158,0,1,781
913,gasbuddy.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,5311,0,0,0,18
914,texas.gov,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,161026,26,0,0,357
915,prokerala.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,252794,219,0,0,1735
916,ftc.gov,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1000961,254,0,1,2088
917,legaseriea.it,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,248211,225,0,1,2013
918,tureng.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,5704,0,0,0,18
919,mountsinai.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,248028,257,0,3,1174
920,exame.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,268438,0,0,0,111
921,meteored.mx,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,151518,104,0,1,840
922,bfmtv.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,495942,380,0,0,2916
923,ebay.de,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,502784,352,0,0,1769
925,chilis.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,134,0,0,0,3
926,nationaltoday.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,174158,180,0,1,951
927,okezone.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,919,0,0,0,13
928,cnrtl.fr,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,7510,23,0,0,123
929,michelin.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,255222,135,0,0,1072
930,bol.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,478809,346,0,0,1859
931,androidauthority.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,815426,38,0,0,368
